video_id,category,algorithm,compression_level,compression_order,crf,scale,score,precision,recall,f1,mean_iou,true_positives,false_positives,false_negatives,matched_boxes,frame_count
chill_clip,single_object,motion,q18_scale100,0,18,1.0,0.8365356049097186,0.9101123595505618,0.8901098901098901,0.8999999999999999,0.9294840054552429,243,24,30,243,62
chill_clip,single_object,motion,q23_scale075,1,23,0.75,0.675677902423921,0.7992700729927007,0.8021978021978022,0.8007312614259599,0.8438260562234812,219,55,54,219,62
chill_clip,single_object,motion,q28_scale050,2,28,0.5,0.42532098645889943,0.5576208178438662,0.5494505494505495,0.5535055350553506,0.7684132488690782,150,119,123,150,62
chill_clip,single_object,motion,q33_scale033,3,33,0.33,0.2642688599619544,0.3865546218487395,0.336996336996337,0.36007827788649704,0.7339205839160801,92,146,181,92,62
chill_clip,single_object,motion,q38_scale020,4,38,0.2,0.1305420875579604,0.24043715846994534,0.16117216117216118,0.19298245614035087,0.6764453628003403,44,139,229,44,62
chill_clip,single_object,motion,q42_scale010,5,42,0.1,0.04941905783282998,0.1511627906976744,0.047619047619047616,0.0724233983286908,0.682363144691768,13,73,260,13,62
chill_clip,single_object,edges,q18_scale100,0,18,1.0,0.8455543207853042,0.872093023255814,0.8823529411764706,0.8771929824561403,0.9639319256952469,75,11,10,75,62
chill_clip,single_object,edges,q23_scale075,1,23,0.75,0.4961080987602874,0.49107142857142855,0.6470588235294118,0.5583756345177665,0.8884845041434237,55,57,30,55,62
chill_clip,single_object,edges,q28_scale050,2,28,0.5,0.2841207550676047,0.2620689655172414,0.4470588235294118,0.3304347826086957,0.8598391271782774,38,107,47,38,62
chill_clip,single_object,edges,q33_scale033,3,33,0.33,0.24070978712049307,0.24285714285714285,0.4,0.30222222222222217,0.7964662073839845,34,106,51,34,62
chill_clip,single_object,edges,q38_scale020,4,38,0.2,0.10240181249333667,0.11678832116788321,0.18823529411764706,0.14414414414414417,0.710412574172523,16,121,69,16,62
chill_clip,single_object,edges,q42_scale010,5,42,0.1,0.021941341998769313,0.02962962962962963,0.047058823529411764,0.03636363636363637,0.603386904966156,4,131,81,4,62
action_clip,multi_object,motion,q18_scale100,0,18,1.0,0.8438757868654063,0.9091836734693878,0.9101123595505618,0.9096477794793263,0.9276950990288052,891,89,88,891,94
action_clip,multi_object,motion,q23_scale075,1,23,0.75,0.7492873017123369,0.8567041965199591,0.8549540347293156,0.8558282208588958,0.8755113274488238,837,140,142,837,94
action_clip,multi_object,motion,q28_scale050,2,28,0.5,0.5827532634659366,0.7110453648915187,0.7364657814096016,0.72353236327145,0.8054280541522967,721,293,258,721,94
action_clip,multi_object,motion,q33_scale033,3,33,0.33,0.4485468974696401,0.6069958847736625,0.6026557711950971,0.6048180420297283,0.7416228787824304,590,382,389,590,94
action_clip,multi_object,motion,q38_scale020,4,38,0.2,0.2627143327543217,0.43951612903225806,0.33401430030643514,0.379570516540917,0.692135772684551,327,417,652,327,94
action_clip,multi_object,motion,q42_scale010,5,42,0.1,0.13102479446670795,0.38580246913580246,0.12768130745658834,0.1918649270913277,0.6829012287604819,125,199,854,125,94
action_clip,multi_object,edges,q18_scale100,0,18,1.0,0.8316980596251716,0.8888888888888888,0.8,0.8421052631578948,0.9876414458048912,16,2,4,16,94
action_clip,multi_object,edges,q23_scale075,1,23,0.75,0.5078600496672342,0.4146341463414634,0.85,0.5573770491803278,0.9111606773441556,17,24,3,17,94
action_clip,multi_object,edges,q28_scale050,2,28,0.5,0.1890350327555188,0.14457831325301204,0.6,0.23300970873786409,0.8112753489091015,12,71,8,12,94
action_clip,multi_object,edges,q33_scale033,3,33,0.33,0.09229644518478873,0.064,0.4,0.1103448275862069,0.8364365344871478,8,117,12,8,94
action_clip,multi_object,edges,q38_scale020,4,38,0.2,0.028330095252236936,0.020942408376963352,0.2,0.037914691943127965,0.7472062622777491,4,187,16,4,94
action_clip,multi_object,edges,q42_scale010,5,42,0.1,0.03238956044751818,0.023923444976076555,0.25,0.043668122270742356,0.7417209342481663,5,204,15,5,94
